experiment,model,features,n_added_features,oof_auc,log_loss,delta_vs_raw_lightgbm,mean_fold_auc,std_fold_auc,fit_seconds,predict_seconds,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc,fold_5_auc,delta_vs_current_champion
selected_feature_set,LightGBM,leisure_screen_proxy,1,0.9607973491608738,0.2337278412203376,0.00019359121427231507,0.9607981940851641,0.0006279483839329236,0.0,0.0,0.9601394680614739,0.9606522833105886,0.9606265027359517,0.9618413268597947,0.9607313894580117,-0.0002469354258489709
selected_feature_set,XGBoost,leisure_screen_proxy,1,0.9609049414923645,0.23003988273893708,0.0003011835457630285,0.960907148610597,0.0006750906754413736,11.547949208965292,0.41759612402529456,0.9600060857688856,0.9607476511772366,0.9611547353829546,0.9618585545469741,0.9607687161769339,-0.00013934309435825742
selected_feature_set,Blend50_50,leisure_screen_proxy,1,0.9613259226414593,0.2288399853198277,0.0007221646948578631,0.9613275310883044,0.0006483946235162663,0.0,0.0,0.9604776937847099,0.961190612601909,0.9614621528241121,0.9622825135159186,0.9612246827148715,0.0002816380547365771
