family,schedule,learning_rate,max_estimators,early_stopping_rounds,oof_auc,log_loss,delta_vs_e5_component,mean_fold_auc,std_fold_auc,mean_best_iteration,median_best_iteration,min_best_iteration,max_best_iteration,folds_hit_max,all_best_iterations_below_max,fit_seconds,predict_seconds,fold_1_auc,fold_1_best_iteration,fold_2_auc,fold_2_best_iteration,fold_3_auc,fold_3_best_iteration,fold_4_auc,fold_4_best_iteration,fold_5_auc,fold_5_best_iteration,folds_without_full_stopping_window,all_folds_completed_early_stopping
XGBoost,lr_005_max_2500,0.05,2500,150,0.96393037694665,0.2196177130806999,0.0002255208498168,0.9639331601611916,0.0005302652473128,1796.0,1822.0,1689,1848,0,True,206.97318203994655,2.8321478739962913,0.9632598582579514,1793,0.963895505504706,1848,0.9641313764311604,1828,0.964689145463926,1689,0.9636899151482144,1822,0,True
XGBoost,lr_003_max_3500,0.03,3500,150,0.9639546093128478,0.219532400162693,0.0002497532160146,0.963955038583585,0.0005599575619128,2836.2,2888.0,2627,2944,0,True,311.17170366697246,4.217509333975613,0.963310904990752,2821,0.9638909366491468,2901,0.9641368015903438,2888,0.9647942819154582,2944,0.9636422677722244,2627,0,True
XGBoost,lr_002_max_5000,0.02,5000,150,0.9639908740203345,0.2194339262594712,0.0002860179235012,0.9639923701836944,0.0005705903250957,4631.8,4720.0,4151,4944,0,True,502.475132624968,7.359890124993399,0.9633097819009766,4579,0.9640689360394866,4720,0.9641084008534768,4151,0.9648277028750392,4944,0.9636470292494932,4765,1,False
