family,candidate,parameters,oof_auc,log_loss,delta_vs_e4_component,mean_fold_auc,std_fold_auc,fit_seconds,predict_seconds,mean_best_iteration,min_best_iteration,max_best_iteration,fold_1_auc,fold_1_best_iteration,fold_2_auc,fold_2_best_iteration,fold_3_auc,fold_3_best_iteration,fold_4_auc,fold_4_best_iteration,fold_5_auc,fold_5_best_iteration,iteration_indexing_normalized
LightGBM,e4_baseline,"{""learning_rate"": 0.1, ""n_estimators"": 300, ""n_jobs"": -1, ""num_leaves"": 31, ""random_state"": 42, ""verbosity"": -1}",0.9607973491608738,0.2337278412203376,0.0,0.960798194085164,0.0006279483839329,13.887888040975668,1.6093378319928888,300.0,300,300,0.960139468061474,300,0.9606522833105886,300,0.9606265027359516,300,0.9618413268597948,300,0.9607313894580116,300,True
LightGBM,slow_lr_005,"{""learning_rate"": 0.05, ""n_estimators"": 1200, ""n_jobs"": -1, ""num_leaves"": 31, ""random_state"": 42, ""verbosity"": -1}",0.9626896884471448,0.2240256249731589,0.0018923392862709,0.9626883297553612,0.0007851382835875,51.75209120800719,4.614535205968423,1121.0,987,1200,0.9615783472634968,987,0.9626524884403418,1200,0.9632166628779356,1199,0.9636145860303328,1200,0.9623795641646984,1019,True
LightGBM,slow_lr_003,"{""learning_rate"": 0.03, ""n_estimators"": 1800, ""n_jobs"": -1, ""num_leaves"": 31, ""random_state"": 42, ""verbosity"": -1}",0.9627371132569272,0.2239473001038062,0.0019397640960534,0.9627369557910038,0.000689466213858,78.93118887595483,7.80805258199689,1800.0,1800,1800,0.9617790104101416,1800,0.9626310133603272,1800,0.9630391560841842,1800,0.9636614734109968,1800,0.9625741256893692,1800,True
LightGBM,compact_leaves_15,"{""learning_rate"": 0.05, ""n_estimators"": 1200, ""n_jobs"": -1, ""num_leaves"": 15, ""random_state"": 42, ""verbosity"": -1}",0.9613254780375624,0.2285882131534105,0.0005281288766885,0.9613263623664536,0.0006684280266479,35.1915612500452,3.819158416998107,1150.8,1063,1200,0.9606410255185572,1200,0.9610594026564704,1092,0.961725731706087,1199,0.962286152362312,1200,0.9609194995888416,1063,True
LightGBM,wide_leaves_63,"{""learning_rate"": 0.05, ""n_estimators"": 1200, ""n_jobs"": -1, ""num_leaves"": 63, ""random_state"": 42, ""verbosity"": -1}",0.9632233232633376,0.2219842858185789,0.0024259741024637,0.9632244695653231,0.0007052066783955,82.9893220839731,5.31313933301135,1199.4,1198,1200,0.9622599858801748,1200,0.9630722215826164,1200,0.963581616945346,1199,0.9641609569641324,1200,0.963047566454346,1198,True
LightGBM,regularized_children,"{""learning_rate"": 0.05, ""min_child_samples"": 50, ""n_estimators"": 1200, ""n_jobs"": -1, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""verbosity"": -1}",0.9630256227525,0.2229904212272131,0.0022282735916263,0.9630269214123844,0.0006453217766251,58.00765604301705,5.275208542007022,1200.0,1200,1200,0.9621118982537344,1200,0.9628897553319936,1200,0.9634239144880944,1200,0.963822191579323,1200,0.9628868474087764,1200,True
LightGBM,row_col_sampling,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""n_estimators"": 1200, ""n_jobs"": -1, ""num_leaves"": 31, ""random_state"": 42, ""subsample"": 0.9, ""subsample_freq"": 1, ""verbosity"": -1}",0.9624216880309792,0.2250229444293479,0.0016243388701054,0.9624171175750662,0.0011836854686914,46.61499545897823,4.0769049169903155,902.0,623,1200,0.961057671400832,685,0.962155330988429,802,0.963354433885172,1200,0.9638938414847597,1200,0.9616243101161388,623,True
LightGBM,shallow_regularized,"{""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_samples"": 40, ""n_estimators"": 1200, ""n_jobs"": -1, ""num_leaves"": 31, ""random_state"": 42, ""reg_lambda"": 1.0, ""verbosity"": -1}",0.9629541972534263,0.2234315890558517,0.0021568480925525,0.962956272927437,0.0005931401557979,47.327353708969895,3.457698333018925,1199.6,1199,1200,0.9622699160844396,1200,0.9628181394249824,1200,0.9632039302139136,1199,0.9638317976568084,1200,0.9626575812570408,1199,True
