configuration,result_type,model,lightgbm_weight,mean_seed_auc,median_seed_auc,std_seed_auc,min_seed_auc,max_seed_auc,total_fit_seconds,total_predict_seconds
e4,blend,E4 selected blend,0.5,0.9612867805327749,0.96128843275001,4.420538535484889e-05,0.961217149907605,0.9613368377922124,0.0,0.0
e4,component,LightGBM,,0.9608153918656608,0.9608280174015212,4.152595791043122e-05,0.9607513143719352,0.9608591570947276,62.329753002966754,7.007279747922439
e4,component,XGBoost,,0.9608184300360987,0.9608319017701348,3.109382883325284e-05,0.960767705142639,0.9608448878199436,56.29103104094975,1.8092113339807838
e5,blend,E5 selected blend,0.5,0.963896703541506,0.9638924765665092,8.152931773389151e-06,0.9638889020662657,0.9639057855969432,0.0,0.0
e5,component,LightGBM,,0.9632094661345441,0.9632198669002512,2.5733315286514516e-05,0.9631700586285356,0.9632345206929358,378.604621870938,25.588780330959707
e5,component,XGBoost,,0.9636148874838446,0.9636352406370216,3.506907477986134e-05,0.9635697150388148,0.9636466585290976,248.00743425101973,8.406583374977345
e6,blend,E6 grid LGB 0.3,0.3,0.9642040616756755,0.9642035516089456,1.2051374896890365e-05,0.9641907696363698,0.9642200150603124,0.0,0.0
e6,blend,E6 grid LGB 0.4,0.4,0.9642239416022823,0.9642244301454278,1.1064588077310392e-05,0.9642125407196026,0.9642370826700036,0.0,0.0
e6,blend,E6 grid LGB 0.5,0.5,0.9642005207740636,0.9642029524945764,1.0451520672316193e-05,0.9641889337684004,0.9642110894507244,0.0,0.0
e6,blend,E6 selected blend,0.4,0.9642239416022823,0.9642244301454278,1.1064588077310392e-05,0.9642125407196026,0.9642370826700036,0.0,0.0
e6,component,LightGBM,,0.963408772093881,0.9634107982245308,1.4063497067396647e-05,0.9633951172764286,0.9634296530995676,1184.5420919570897,91.64967866899678
e6,component,XGBoost,,0.9638784396617952,0.9638782094737184,1.6777870422627813e-05,0.9638568470625404,0.9639037153524856,916.6393640860915,33.60761016595643
