blend_type,candidate,family,candidate_weight,e6_weight,effective_lightgbm_weight,effective_xgboost_weight,oof_auc,log_loss,delta_vs_e6
single_candidate,catboost_depth6_lr003,CatBoost,0.0,1.0,0.4,0.6,0.9642892514216848,0.21865932225098486,0.0
single_candidate,catboost_depth6_lr003,CatBoost,0.05,0.95,0.38,0.57,0.9642715261187249,0.2187921144048488,-1.7725302959847866e-05
single_candidate,catboost_depth6_lr003,CatBoost,0.1,0.9,0.36000000000000004,0.54,0.9642329159261314,0.21901887979191534,-5.6335495553394566e-05
single_candidate,catboost_depth6_lr003,CatBoost,0.15000000000000002,0.85,0.34,0.51,0.9641760011977165,0.2193188361828691,-0.00011325022396824203
single_candidate,catboost_depth6_lr003,CatBoost,0.2,0.8,0.32000000000000006,0.48,0.9641013737711566,0.21968323542744897,-0.00018787765052818983
single_candidate,catboost_depth6_lr003,CatBoost,0.25,0.75,0.30000000000000004,0.44999999999999996,0.9640089465697106,0.22010659531230387,-0.0002803048519741669
single_candidate,catboost_depth6_lr003,CatBoost,0.30000000000000004,0.7,0.27999999999999997,0.42,0.9638987121847511,0.2205850666782974,-0.00039053923693366244
single_candidate,catboost_depth7_lr003,CatBoost,0.0,1.0,0.4,0.6,0.9642892514216848,0.21865932225098486,0.0
single_candidate,catboost_depth7_lr003,CatBoost,0.05,0.95,0.38,0.57,0.9642915829572603,0.21871956339557141,2.331535575494925e-06
single_candidate,catboost_depth7_lr003,CatBoost,0.1,0.9,0.36000000000000004,0.54,0.9642758185453909,0.21885896552221248,-1.3432876293850704e-05
single_candidate,catboost_depth7_lr003,CatBoost,0.15000000000000002,0.85,0.34,0.51,0.9642441330241126,0.21906038839209754,-4.5118397572152524e-05
single_candidate,catboost_depth7_lr003,CatBoost,0.2,0.8,0.32000000000000006,0.48,0.9641974658986938,0.2193165291989124,-9.178552299093923e-05
single_candidate,catboost_depth7_lr003,CatBoost,0.25,0.75,0.30000000000000004,0.44999999999999996,0.9641358243037433,0.21962282153593687,-0.00015342711794141817
single_candidate,catboost_depth7_lr003,CatBoost,0.30000000000000004,0.7,0.27999999999999997,0.42,0.964059408251899,0.21997605353433097,-0.00022984316978580388
single_candidate,extra_trees_sqrt_leaf2,ExtraTrees,0.0,1.0,0.4,0.6,0.9642892514216848,0.21865932225098486,0.0
single_candidate,extra_trees_sqrt_leaf2,ExtraTrees,0.05,0.95,0.38,0.57,0.9641123586137497,0.2196734953366708,-0.00017689280793509177
single_candidate,extra_trees_sqrt_leaf2,ExtraTrees,0.1,0.9,0.36000000000000004,0.54,0.9638658707146531,0.22112949924869393,-0.00042338070703162867
single_candidate,extra_trees_sqrt_leaf2,ExtraTrees,0.15000000000000002,0.85,0.34,0.51,0.9635536658870151,0.22290214045913703,-0.0007355855346696805
single_candidate,extra_trees_sqrt_leaf2,ExtraTrees,0.2,0.8,0.32000000000000006,0.48,0.963173710249544,0.22493701084182716,-0.0011155411721407438
single_candidate,extra_trees_sqrt_leaf2,ExtraTrees,0.25,0.75,0.30000000000000004,0.44999999999999996,0.9627204193617338,0.22720257935327678,-0.001568832059950953
single_candidate,extra_trees_sqrt_leaf2,ExtraTrees,0.30000000000000004,0.7,0.27999999999999997,0.42,0.9621865603229315,0.22967874042684802,-0.002102691098753273
