stage,name,model,features,n_added_features,fold_seed,oof_auc,control_auc,delta_vs_control,log_loss,mean_fold_auc,std_fold_auc,positive_fold_deltas,fit_seconds,predict_seconds,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc,fold_5_auc
individual,social_media_screen_share,LightGBM,social_media_screen_share,1,42,0.960736435666522,0.9607973491608737,-6.0913494351666486e-05,0.23267575081513292,0.9607382013950347,0.0007625478636341941,2,0.0,0.0,0.9597252421566707,0.9603117577461077,0.9611772137970975,0.9616992946320047,0.9607774986432929
individual,social_media_screen_share,XGBoost,social_media_screen_share,1,42,0.9608182971608474,0.9609049414923645,-8.664433151706064e-05,0.23017083004305158,0.960818511242476,0.0007014425129300123,1,0.0,0.0,0.9599791368155259,0.9608265972969899,0.9611057555768128,0.9618092022804707,0.9603718642425809
individual,social_media_screen_share,Blend50_50,social_media_screen_share,1,42,0.9612262469152757,0.9613259226414593,-9.967572618363452e-05,0.22901974764808336,0.961227019613197,0.0006880948246125176,1,0.0,0.0,0.9603168705764726,0.9610670429145544,0.9615330306608292,0.9621810716022301,0.9610370823118992
individual,gaming_screen_share,LightGBM,gaming_screen_share,1,42,0.960929317357582,0.9607973491608737,0.00013196819670835414,0.230814204221362,0.9609302471882988,0.0007089177232391636,4,0.0,0.0,0.960053743315372,0.9606706722723424,0.9611018682120788,0.9619956038488303,0.9608293482928701
individual,gaming_screen_share,XGBoost,gaming_screen_share,1,42,0.9609694943378198,0.9609049414923645,6.455284545525686e-05,0.22976918306374447,0.9609706411780528,0.0005604638661544098,4,0.0,0.0,0.9601285496193971,0.960906255607639,0.9611879645305237,0.9616747451048298,0.9609556910278743
individual,gaming_screen_share,Blend50_50,gaming_screen_share,1,42,0.9613748313383774,0.9613259226414593,4.8908696918092964e-05,0.2285966708724094,0.9613767824693327,0.0006311805823889581,4,0.0,0.0,0.9605004283287816,0.9612411551938796,0.9615519736193125,0.9622568936726433,0.9613334615320461
individual,work_study_screen_share,LightGBM,work_study_screen_share,1,42,0.9608782187770257,0.9607973491608737,8.086961615205723e-05,0.2322784408471925,0.960879250254019,0.0008394506365071971,4,0.0,0.0,0.9595521422185187,0.96091172567519,0.9611323944848308,0.9618743403457102,0.9609256485458454
individual,work_study_screen_share,XGBoost,work_study_screen_share,1,42,0.9608838880107922,0.9609049414923645,-2.1053481572330668e-05,0.23002557058545842,0.9608856930314589,0.0005632054128199638,2,0.0,0.0,0.9601974500924713,0.9606112771500753,0.9612997602333361,0.9616060218548907,0.9607139558265211
individual,work_study_screen_share,Blend50_50,work_study_screen_share,1,42,0.961349476570233,0.9613259226414593,2.3553928773623056e-05,0.2287065071462353,0.9613508065074136,0.0006665950479445027,2,0.0,0.0,0.9603920809289485,0.9611878238430098,0.9616977832243931,0.9621915928462852,0.9612847516944318
individual,unallocated_screen_contrast,LightGBM,unallocated_screen_contrast,1,42,0.9612592415409803,0.9607973491608737,0.00046189238010663214,0.2322943607529493,0.9612603082647659,0.0006254871390286559,5,0.0,0.0,0.9605291775495087,0.9613188674752553,0.9614486215776733,0.962163588038842,0.9608412866825506
individual,unallocated_screen_contrast,XGBoost,unallocated_screen_contrast,1,42,0.9614857101165971,0.9609049414923645,0.0005807686242326193,0.22839504719750725,0.9614871634051063,0.0007053369710165004,5,0.0,0.0,0.9605815247220799,0.9613643963143621,0.9617209882914485,0.9625107103127238,0.9612581973849177
individual,unallocated_screen_contrast,Blend50_50,unallocated_screen_contrast,1,42,0.9618699311493937,0.9613259226414593,0.000544008507934346,0.22729910144856855,0.9618714448936121,0.0006775457759592565,5,0.0,0.0,0.9610013537703602,0.9618581350216281,0.9620651377328668,0.9628502042533423,0.9615823936898629
individual,leisure_productive_balance,LightGBM,leisure_productive_balance,1,42,0.960750262605667,0.9607973491608737,-4.708655520668792e-05,0.23300701176194796,0.96075133991085,0.0006905453609226598,2,0.0,0.0,0.9598942227035214,0.9602427652996812,0.9611342050278416,0.9616199492844727,0.9608655572387332
individual,leisure_productive_balance,XGBoost,leisure_productive_balance,1,42,0.9608752251233035,0.9609049414923645,-2.9716369061016934e-05,0.23004375290081294,0.9608768428947668,0.0006469484056891917,1,0.0,0.0,0.9601181548545588,0.9606062132875917,0.9611254122485094,0.9618411292122322,0.9606933048709416
individual,leisure_productive_balance,Blend50_50,leisure_productive_balance,1,42,0.9612910710433465,0.9613259226414593,-3.485159811278393e-05,0.22885241171916232,0.9612918317927435,0.0006380934818427108,2,0.0,0.0,0.9605056998607515,0.9609563316092794,0.9615884201850321,0.9621890061750414,0.9612197011336123
individual,weekend_relative_deviation,LightGBM,weekend_relative_deviation,1,42,0.9603450108499918,0.9607973491608737,-0.0004523383108818724,0.23905917767764887,0.9603452382647264,0.0007788881028243852,0,0.0,0.0,0.9598520187328126,0.9599669434324976,0.9600240102969255,0.9617244854354494,0.9601587334259468
individual,weekend_relative_deviation,XGBoost,weekend_relative_deviation,1,42,0.9608346175648164,0.9609049414923645,-7.032392754813266e-05,0.23030245080874703,0.9608342320346258,0.0008067899524158323,2,0.0,0.0,0.9598326627188329,0.9608982945211305,0.9609482604084678,0.9620347469463773,0.9604571955783209
individual,weekend_relative_deviation,Blend50_50,weekend_relative_deviation,1,42,0.9611373972790123,0.9613259226414593,-0.0001885253624470673,0.22941291488456547,0.961136983770384,0.0007579084260421533,1,0.0,0.0,0.9602790688944103,0.9610249455060743,0.9611960763264702,0.9623443465028886,0.9608404816220772
individual,joint_engagement_intensity,LightGBM,joint_engagement_intensity,1,42,0.9608925853585462,0.9607973491608737,9.523619767248803e-05,0.23161733998000736,0.9608947179679823,0.0007233805785806488,3,0.0,0.0,0.9599627356199185,0.9607522692543964,0.9610816272241609,0.9619611555786199,0.9607158021628164
individual,joint_engagement_intensity,XGBoost,joint_engagement_intensity,1,42,0.9608694940427228,0.9609049414923645,-3.544744964167901e-05,0.23018100810718267,0.9608691006582486,0.0007827432103278478,2,0.0,0.0,0.9600590407267404,0.9607292544770353,0.9610305749095294,0.9621112869163768,0.9604153462615612
individual,joint_engagement_intensity,Blend50_50,joint_engagement_intensity,1,42,0.9613490884393581,0.9613259226414593,2.3165797898738738e-05,0.22881664132157492,0.961349774056754,0.0007361415234790007,3,0.0,0.0,0.9604558721237321,0.9612032439049536,0.9615513365294162,0.9624600804412133,0.961078337284455
individual,social_engagement_load,LightGBM,social_engagement_load,1,42,0.9607700678198207,0.9607973491608737,-2.7281341053009278e-05,0.23178242052001824,0.9607703875800466,0.000916932000807368,3,0.0,0.0,0.9595365727157352,0.960892143850773,0.961269107735087,0.9619104593594361,0.9602436542392017
individual,social_engagement_load,XGBoost,social_engagement_load,1,42,0.9607804490369009,0.9609049414923645,-0.00012449245546364285,0.23045733947718286,0.9607809044740916,0.0007628812710022351,2,0.0,0.0,0.9598176363028367,0.960808527768203,0.9609395838327088,0.9619016050531027,0.9604371694136068
individual,social_engagement_load,Blend50_50,social_engagement_load,1,42,0.9612228310509933,0.9613259226414593,-0.00010309159046606453,0.22918905556918226,0.9612232918350434,0.0007907326880365659,3,0.0,0.0,0.9601712223370527,0.9613069363114259,0.9615247015540519,0.9622895626073525,0.9608240363653341
individual,cross_context_screen_load,LightGBM,cross_context_screen_load,1,42,0.9589427235065935,0.9607973491608737,-0.0018546256542801842,0.24821633223533712,0.9589411413060255,0.0012171101475683128,0,0.0,0.0,0.9578846966771046,0.957434116433654,0.9595726809463783,0.9602767076530243,0.9595375048199666
individual,cross_context_screen_load,XGBoost,cross_context_screen_load,1,42,0.9606809905002054,0.9609049414923645,-0.0002239509921591054,0.23072367847394995,0.9606832161400805,0.0006011661522148055,0,0.0,0.0,0.9600008809651684,0.9604537777953572,0.9609255272598544,0.9615856510894013,0.9604502435906209
individual,cross_context_screen_load,Blend50_50,cross_context_screen_load,1,42,0.9604915775639218,0.9613259226414593,-0.000834345077537546,0.23134812751083794,0.9604913513478313,0.0008343904455716571,0,0.0,0.0,0.9595918176197704,0.9597514114297234,0.9609124410375806,0.9616048306414046,0.9605962560106778
individual,screen_sleep_balance,LightGBM,screen_sleep_balance,1,42,0.9610002319759917,0.9607973491608737,0.00020288281511804396,0.23053596565672643,0.9610013334730159,0.0008463315456469383,4,0.0,0.0,0.9597791380336338,0.9607367395855889,0.9613231670074673,0.9620933203977443,0.9610743023406451
individual,screen_sleep_balance,XGBoost,screen_sleep_balance,1,42,0.9608444923058136,0.9609049414923645,-6.044918655090381e-05,0.23023994531123407,0.9608451072415226,0.000739702289500631,2,0.0,0.0,0.9599740616625203,0.9606278780230019,0.9612053274502457,0.9619119640434785,0.9605063050283666
individual,screen_sleep_balance,Blend50_50,screen_sleep_balance,1,42,0.9613432712969165,0.9613259226414593,1.7348655457216644e-05,0.2288087152797889,0.9613437843656998,0.0007595032566479088,2,0.0,0.0,0.9603411210951082,0.9611227488270888,0.9616618930657398,0.9624056568274982,0.9611875020130635
