fold_seed,weight_04_minus_03,weight_04_minus_05
7,1.7067609691223673e-05,2.5993219279207835e-05
21,2.0878536482249466e-05,2.147765085136477e-05
84,2.1771083232757782e-05,2.2320113252427554e-05
123,1.8819902256828058e-05,2.4293720794821283e-05
2026,2.0862501371121667e-05,2.3019436915960867e-05
