lightgbm_weight,xgboost_weight,oof_auc,log_loss,delta_vs_e5_blend
0.0,1.0,0.9639908740203345,0.21943392625947125,4.749820086136225e-05
0.1,0.9,0.964133038903487,0.21901635517720647,0.00018966308401391352
0.2,0.8,0.9642283577022785,0.2187619705257157,0.00028498188280545733
0.30000000000000004,0.7,0.964280076100765,0.21864692062210747,0.0003367002812919573
0.4,0.6,0.9642892514216848,0.21865932225098486,0.0003458756022116649
0.5,0.5,0.9642557415107351,0.21879239236149747,0.00031236569126202873
0.6000000000000001,0.3999999999999999,0.9641794909046996,0.21904264751208988,0.00023611508522647373
0.7000000000000001,0.29999999999999993,0.9640595154435708,0.21940928295904583,0.00011613962409773304
0.8,0.19999999999999996,0.9638949511596313,0.21989417967440889,-4.842465984178368e-05
0.9,0.09999999999999998,0.9636842910467697,0.22050263621895408,-0.0002590847727034218
1.0,0.0,0.9634243185023281,0.22124604681997176,-0.0005190573171449664
