model,fold,fold_auc,fold_log_loss,fit_seconds,predict_seconds,model_size_mb,oof_auc,oof_log_loss,oof_accuracy_0.5,mean_fold_auc,std_fold_auc,total_fit_seconds,total_predict_seconds,max_model_size_mb,delta_vs_logistic
LogisticRegression,1,0.9127332225854925,0.3401386496030183,1.0545599579927512,0.0785888749815058,0.004467,0.9137848668196702,0.3383470318304913,0.8422853787196128,0.9137865282538244,0.0008614392182742293,4.912638250010787,0.38417024895898066,0.004467,0.0
LogisticRegression,2,0.9130809153478776,0.33982624281726936,0.9748183339834213,0.07697966700652614,0.004467,0.9137848668196702,0.3383470318304913,0.8422853787196128,0.9137865282538244,0.0008614392182742293,4.912638250010787,0.38417024895898066,0.004467,0.0
LogisticRegression,3,0.9144528545681161,0.3372715543072842,0.9538555830076803,0.0757005829946138,0.004467,0.9137848668196702,0.3383470318304913,0.8422853787196128,0.9137865282538244,0.0008614392182742293,4.912638250010787,0.38417024895898066,0.004467,0.0
LogisticRegression,4,0.9147328856433367,0.3361719607746531,0.975730875012232,0.075466582988156,0.004467,0.9137848668196702,0.3383470318304913,0.8422853787196128,0.9137865282538244,0.0008614392182742293,4.912638250010787,0.38417024895898066,0.004467,0.0
LogisticRegression,5,0.9139327631242995,0.3383267515035639,0.9536735000147019,0.07743454098817892,0.004467,0.9137848668196702,0.3383470318304913,0.8422853787196128,0.9137865282538244,0.0008614392182742293,4.912638250010787,0.38417024895898066,0.004467,0.0
HistGradientBoosting,1,0.9559612248516803,0.24600374106964235,2.119009999994887,0.17387404199689627,0.512089,0.9571571560920203,0.24227270448662938,0.8923339056278196,0.9571603081993778,0.0007482794844968864,12.550171876995591,0.9937253750103991,0.64479,0.04337228927235015
HistGradientBoosting,2,0.957658290760042,0.24019504043369855,2.871200209017843,0.22939249998307787,0.64479,0.9571571560920203,0.24227270448662938,0.8923339056278196,0.9571603081993778,0.0007482794844968864,12.550171876995591,0.9937253750103991,0.64479,0.04337228927235015
HistGradientBoosting,3,0.957791696141113,0.23983826732532984,2.4209479999844916,0.1970431660010945,0.555038,0.9571571560920203,0.24227270448662938,0.8923339056278196,0.9571603081993778,0.0007482794844968864,12.550171876995591,0.9937253750103991,0.64479,0.04337228927235015
HistGradientBoosting,4,0.9569187405195534,0.2450315013663504,2.0271744589845184,0.1688227920094505,0.476299,0.9571571560920203,0.24227270448662938,0.8923339056278196,0.9571603081993778,0.0007482794844968864,12.550171876995591,0.9937253750103991,0.64479,0.04337228927235015
HistGradientBoosting,5,0.9574715887244998,0.24029495793502795,3.1118392090138514,0.22459287501988,0.579671,0.9571571560920203,0.24227270448662938,0.8923339056278196,0.9571603081993778,0.0007482794844968864,12.550171876995591,0.9937253750103991,0.64479,0.04337228927235015
XGBoost,1,0.9598512764761452,0.23294452838168023,2.306529416993726,0.07516666600713506,1.379288,0.960596352232107,0.23105975709816043,0.8973862004226397,0.9605977953988709,0.0006511008860792187,11.91394691800815,0.38188645694754086,1.389782,0.04681148541243685
XGBoost,2,0.9604047710949385,0.23166154146070114,2.3207558339927346,0.07600066598388366,1.377323,0.960596352232107,0.23105975709816043,0.8973862004226397,0.9605977953988709,0.0006511008860792187,11.91394691800815,0.38188645694754086,1.389782,0.04681148541243685
XGBoost,3,0.9609955230404087,0.2298749629451487,2.392210416001035,0.07573804099229164,1.386804,0.960596352232107,0.23105975709816043,0.8973862004226397,0.9605977953988709,0.0006511008860792187,11.91394691800815,0.38188645694754086,1.389782,0.04681148541243685
XGBoost,4,0.9614996593034285,0.229023729284041,2.45147608401021,0.07997254197834991,1.371823,0.960596352232107,0.23105975709816043,0.8973862004226397,0.9605977953988709,0.0006511008860792187,11.91394691800815,0.38188645694754086,1.389782,0.04681148541243685
XGBoost,5,0.960237747079434,0.23179402872949656,2.442975167010445,0.07500854198588058,1.389782,0.960596352232107,0.23105975709816043,0.8973862004226397,0.9605977953988709,0.0006511008860792187,11.91394691800815,0.38188645694754086,1.389782,0.04681148541243685
LightGBM,1,0.9596379065448772,0.23418569927380845,2.5555181249801535,0.28329895800561644,1.05467,0.9606037579466015,0.2320119183116999,0.8975829115855642,0.9606048423752365,0.0007687492970900694,12.610079790989403,1.436491832981119,1.055478,0.04681889112693127
LightGBM,2,0.960520098193897,0.2320206845935878,2.58411804199568,0.2934432500042021,1.055285,0.9606037579466015,0.2320119183116999,0.8975829115855642,0.9606048423752365,0.0007687492970900694,12.610079790989403,1.436491832981119,1.055478,0.04681889112693127
LightGBM,3,0.9610287033469563,0.22939781690313082,2.549042458005715,0.282992499996908,1.054888,0.9606037579466015,0.2320119183116999,0.8975829115855642,0.9606048423752365,0.0007687492970900694,12.610079790989403,1.436491832981119,1.055478,0.04681889112693127
LightGBM,4,0.9616416000653054,0.23018976552318984,2.4287020830088295,0.28444604098331183,1.055478,0.9606037579466015,0.2320119183116999,0.8975829115855642,0.9606048423752365,0.0007687492970900694,12.610079790989403,1.436491832981119,1.055478,0.04681889112693127
LightGBM,5,0.9601959037251456,0.23426564156374902,2.4926990829990245,0.2923110839910805,1.054246,0.9606037579466015,0.2320119183116999,0.8975829115855642,0.9606048423752365,0.0007687492970900694,12.610079790989403,1.436491832981119,1.055478,0.04681889112693127
CatBoost,1,0.9524323162994892,0.2530520985021196,20.848062000004575,0.04244812499382533,0.343747,0.9533051207927936,0.25125259583861725,0.8868925277239795,0.953308034293564,0.0006888178861790045,103.03823891599313,0.21246795702609234,0.344263,0.03952025397312342
CatBoost,2,0.9531237794462217,0.2518632065057885,20.195649165980285,0.040175375004764646,0.344263,0.9533051207927936,0.25125259583861725,0.8868925277239795,0.953308034293564,0.0006888178861790045,103.03823891599313,0.21246795702609234,0.344263,0.03952025397312342
CatBoost,3,0.9534309325115641,0.25085680355292234,20.737215792003553,0.041825541004072875,0.343795,0.9533051207927936,0.25125259583861725,0.8868925277239795,0.953308034293564,0.0006888178861790045,103.03823891599313,0.21246795702609234,0.344263,0.03952025397312342
CatBoost,4,0.9543435328343046,0.24920768023494924,21.322938291996252,0.04717154102399945,0.343763,0.9533051207927936,0.25125259583861725,0.8868925277239795,0.953308034293564,0.0006888178861790045,103.03823891599313,0.21246795702609234,0.344263,0.03952025397312342
