fold_seed,e5_minus_e4,e6_minus_e5,e6_minus_e4
7,0.00268810943323583,0.000331823329162817,0.003019932762398647
21,0.0025978175199348197,0.00031864454848462564,0.0029164620684194453
84,0.0025556387742968756,0.0003200641530933801,0.0028757029273902557
123,0.002605387929226821,0.00032432542292959443,0.0029297133521564156
2026,0.0026026613869611914,0.00034133285021120674,0.002943994237172398
