configuration,result_type,model,lightgbm_weight,xgboost_weight,oof_auc,log_loss,mean_fold_auc,std_fold_auc,fit_seconds,predict_seconds,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc,fold_5_auc,fold_seed
e4,blend,E4 selected blend,0.5,0.5,0.961217149907605,0.2291323285231217,0.961219413720532,0.0005381969974632,0.0,0.0,0.9603028514272578,0.9612997667031856,0.9613880108848394,0.9617275800533172,0.96137885953406,7
e4,component,LightGBM,,,0.9607513143719352,0.2332048907929758,0.9607543193231072,0.0008332608620452,12.853611958038528,1.4708696660236456,0.9593283899546724,0.9609921106387518,0.960906960821246,0.9615250986252138,0.961019036575652,7
e4,component,XGBoost,,,0.960767705142639,0.2304257666074414,0.9607704116163516,0.0003809671961827,11.981596541940236,0.3849641250271816,0.9601155274613205,0.9607610809358385,0.9609591983869532,0.9610463835430288,0.9609698677546163,7
e5,blend,E5 selected blend,0.5,0.5,0.9639052593408408,0.2200702692332335,0.9639075980561882,0.0003302264884326,0.0,0.0,0.9635457029370508,0.963923423920628,0.9639353137281642,0.9644228204479436,0.9637107292471548,7
e5,component,LightGBM,,,0.9631981729783782,0.2220486984641773,0.9632002313063208,0.0003955778009057,80.49866637602099,5.822658457007492,0.962818459619108,0.9630871519657468,0.9632427142982372,0.9638526003799038,0.963000230268608,7
e5,component,XGBoost,,,0.9636466585290976,0.2206320643434056,0.9636492995799422,0.0002895305673426,53.13042858301196,1.8122820829739792,0.9633131934146152,0.9638193801125204,0.963667601119731,0.9640249652923966,0.9634213579604484,7
e6,blend,E6 grid LGB 0.3,0.3,0.7,0.9642200150603124,0.2187966822535086,0.9642218716204816,0.0003406287151044,0.0,0.0,0.9638393014137518,0.9643310995467156,0.964285911326162,0.9647005657633568,0.963952480052422,7
e6,blend,E6 grid LGB 0.4,0.4,0.6,0.9642370826700036,0.2187844033180213,0.9642389625686938,0.0003469399128687,0.0,0.0,0.9638552971654508,0.96432276942506,0.9643027811418564,0.9647412456404744,0.9639727194706272,7
e6,blend,E6 grid LGB 0.5,0.5,0.5,0.9642110894507244,0.2188958526586223,0.9642130725675916,0.0003540208946896,0.0,0.0,0.9638285008244256,0.9642726159120844,0.9642763800959564,0.9647386642973418,0.9639492017081492,7
e6,blend,E6 selected blend,0.4,0.6,0.9642370826700036,0.2187844033180213,0.9642389625686938,0.0003469399128687,0.0,0.0,0.9638552971654508,0.96432276942506,0.9643027811418564,0.9647412456404744,0.9639727194706272,7
