lightgbm_weight,xgboost_weight,oof_auc,log_loss,delta_auc_vs_lightgbm,delta_auc_vs_xgboost
0.0,1.0,0.960596352232107,0.23105975709816043,-7.405714494423954e-06,0.0
0.1,0.9,0.9607547181083962,0.23067013559292449,0.00015096016179472205,0.000158365876289146
0.2,0.8,0.9608782200659238,0.2303527454014601,0.00027446211932236064,0.0002818678338167846
0.30000000000000004,0.7,0.9609673988279136,0.23010376504260244,0.0003636408813121328,0.00037104659580655674
0.4,0.6,0.9610225953941924,0.22992229818541474,0.0004188374475909695,0.0004262431620853935
0.5,0.5,0.9610442845867229,0.22980887582611886,0.000440526640121397,0.0004479323546158209
0.6000000000000001,0.3999999999999999,0.961032422095824,0.22976549980195443,0.00042866414922249074,0.0004360698637169147
0.7000000000000001,0.29999999999999993,0.9609865470642899,0.2297963043771709,0.00038278911768840906,0.000390194832182833
0.8,0.19999999999999996,0.960905601915661,0.22990970017312198,0.00030184396905952315,0.0003092496835539471
0.9,0.09999999999999998,0.9607854922771895,0.23012765183133893,0.00018173433058799038,0.00018914004508241433
1.0,0.0,0.9606037579466015,0.2320119183116999,0.0,7.405714494423954e-06
