stage,name,model,features,n_added_features,fold_seed,oof_auc,control_auc,delta_vs_control,log_loss,mean_fold_auc,std_fold_auc,positive_fold_deltas,fit_seconds,predict_seconds,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc,fold_5_auc
e6_confirmation,frozen_candidate,LightGBM,unallocated_screen_contrast,1,42,0.9639349438934,0.9634116689817982,0.0005232749116017565,0.21972578937957588,0.9639362526057077,0.0006756449947933447,5,0.0,0.0,0.9630373186468966,0.9638159267351492,0.9641613159773553,0.9648978845051949,0.9637688171639429
e6_confirmation,frozen_candidate,XGBoost,unallocated_screen_contrast,1,42,0.9644766219060116,0.9639909999111783,0.00048562199483326296,0.21801065715203316,0.9644784303314571,0.0005850824580347053,5,0.0,0.0,0.9637635930097161,0.9645089033192499,0.9645109914314948,0.9653717299472444,0.9642369339495804
e6_confirmation,frozen_candidate,Blend40_60,unallocated_screen_contrast,1,42,0.9647766676946865,0.9642912390345771,0.00048542866010936603,0.21718722180404684,0.9647781832912934,0.0006144240320657705,5,0.0,0.0,0.9639990676261676,0.9647746090057076,0.9648692542789565,0.965696518427151,0.9645514671184837
e6_confirmation,frozen_candidate,LightGBM,unallocated_screen_contrast,1,7,0.9639257911332725,0.9634107982245307,0.0005149929087417959,0.21976111951857782,0.9639281603450138,0.00033019832412974195,5,0.0,0.0,0.9636046402223134,0.963793834355366,0.9640825878027318,0.9644288221849,0.9637309171597578
e6_confirmation,frozen_candidate,XGBoost,unallocated_screen_contrast,1,7,0.9644539454783859,0.9639037153524856,0.0005502301259002751,0.218073953586485,0.9644563662977965,0.0003312987181122117,5,0.0,0.0,0.9640708752183309,0.9646199537207599,0.9645328371958342,0.9648806847271706,0.964177480626887
e6_confirmation,frozen_candidate,Blend40_60,unallocated_screen_contrast,1,7,0.9647666297558406,0.9642370826700037,0.0005295470858368567,0.21722556173827998,0.9647686883695279,0.0003193411353583586,5,0.0,0.0,0.9643972739296303,0.9648095073744747,0.9648765000030746,0.9652205655901678,0.9645395949502917
e6_confirmation,frozen_candidate,LightGBM,unallocated_screen_contrast,1,21,0.9639943846287801,0.9634296530995675,0.0005647315292125477,0.21958135310989504,0.9639951906236529,0.0002684459333249263,5,0.0,0.0,0.9640173455855996,0.9641881950309674,0.9640758675318897,0.9641636923150572,0.9635308526547506
e6_confirmation,frozen_candidate,XGBoost,unallocated_screen_contrast,1,21,0.964438049984559,0.963879440168482,0.000558609816076916,0.21809937452142675,0.964438865572508,0.0003067791040171857,5,0.0,0.0,0.9643015226926783,0.964769815862029,0.9645015540775381,0.9646357475116633,0.9639856877186317
e6_confirmation,frozen_candidate,Blend40_60,unallocated_screen_contrast,1,21,0.9647711713762496,0.9642244301454278,0.0005467412308217678,0.21720435565506213,0.9647724227084312,0.0003031752149392735,5,0.0,0.0,0.9647171572486581,0.9650742216516255,0.9648234345503373,0.9649602916596023,0.9642870084319333
e6_confirmation,frozen_candidate,LightGBM,unallocated_screen_contrast,1,84,0.9639736699751911,0.9633963437086945,0.0005773262664965362,0.21964281631216162,0.9639762375178181,0.00028538375410455436,5,0.0,0.0,0.9642540946355634,0.9635999857363919,0.9639667802857255,0.9642549968624339,0.9638053300689762
e6_confirmation,frozen_candidate,XGBoost,unallocated_screen_contrast,1,84,0.9643717167089784,0.9638568470625405,0.0005148696464378766,0.2183339999733124,0.964373211230314,0.0002676035429427018,5,0.0,0.0,0.9645573402923238,0.963990683462239,0.9643001192427534,0.9646878693812365,0.964330043773018
e6_confirmation,frozen_candidate,Blend40_60,unallocated_screen_contrast,1,84,0.9647376780484459,0.9642125407196026,0.0005251373288432948,0.2173209139961019,0.9647395247560588,0.00028392468884216307,5,0.0,0.0,0.964993497464969,0.9643462308757638,0.9646898600651579,0.9650376672550792,0.9646303681193236
e6_confirmation,frozen_candidate,LightGBM,unallocated_screen_contrast,1,123,0.9639369923077795,0.9633951172764286,0.0005418750313509468,0.21974475047300998,0.9639372010778526,0.0003708256832542577,5,0.0,0.0,0.9643830085455511,0.963400292432889,0.9641175797940283,0.9640076923162699,0.963777432300525
e6_confirmation,frozen_candidate,XGBoost,unallocated_screen_contrast,1,123,0.9644153945903307,0.9638739862517495,0.0005414083385811841,0.21815930225524635,0.9644154289185861,0.0003785792933666648,5,0.0,0.0,0.9647662159615933,0.9637958967150722,0.964639692851324,0.9645246575298968,0.9643506815350443
e6_confirmation,frozen_candidate,Blend40_60,unallocated_screen_contrast,1,123,0.9647413964282894,0.9642132274891952,0.0005281689390941313,0.21728659663012564,0.9647415966550744,0.0003684216303114535,5,0.0,0.0,0.9651324008227462,0.964163223187531,0.9649339317162762,0.9648358835558549,0.9646425439929633
e6_confirmation,frozen_candidate,LightGBM,unallocated_screen_contrast,1,2026,0.9639333675252845,0.9634119481601835,0.0005214193651009724,0.21972560864119037,0.96393486621693,0.0007427384984764588,5,0.0,0.0,0.9632318467269387,0.964398995543924,0.9648713461969953,0.9640200522662107,0.9631520903505816
e6_confirmation,frozen_candidate,XGBoost,unallocated_screen_contrast,1,2026,0.9643893788051846,0.9638782094737184,0.0005111693314662213,0.2182594431839669,0.9643921671886568,0.0007292965741152531,5,0.0,0.0,0.9637810130163464,0.9650206384840602,0.9652343472578438,0.9643368337363625,0.963588003448671
e6_confirmation,frozen_candidate,Blend40_60,unallocated_screen_contrast,1,2026,0.964726107213888,0.9642324269871825,0.0004936802267054841,0.2173271145090065,0.9647280681317223,0.0007423689054791562,5,0.0,0.0,0.9640766028112682,0.965318755579841,0.9656143269800919,0.9647058167440395,0.9639248385433712
