blend_type,left_model,right_model,left_weight,right_weight,oof_auc,log_loss,delta_vs_e4_blend
tuned_pair,tuned_lightgbm,tuned_xgboost,0.0,1.0,0.9637048560968331,0.22050111655302146,0.0023789334553738772
tuned_pair,tuned_lightgbm,tuned_xgboost,0.1,0.9,0.9638305143150102,0.22018257069855496,0.002504591673550993
tuned_pair,tuned_lightgbm,tuned_xgboost,0.2,0.8,0.9639157948603425,0.21997938446525014,0.0025898722188832934
tuned_pair,tuned_lightgbm,tuned_xgboost,0.30000000000000004,0.7,0.9639627042986153,0.21988020406166173,0.0026367816571560843
tuned_pair,tuned_lightgbm,tuned_xgboost,0.4,0.6,0.9639716835243366,0.21987934279598703,0.0026457608828773793
tuned_pair,tuned_lightgbm,tuned_xgboost,0.5,0.5,0.9639433758194731,0.2199739840148213,0.0026174531780138732
tuned_pair,tuned_lightgbm,tuned_xgboost,0.6000000000000001,0.3999999999999999,0.9638777638397175,0.22016340547489976,0.0025518411982582423
tuned_pair,tuned_lightgbm,tuned_xgboost,0.7000000000000001,0.29999999999999993,0.963774366927546,0.22044883176626717,0.002448444286086815
tuned_pair,tuned_lightgbm,tuned_xgboost,0.8,0.19999999999999996,0.9636323084799794,0.2208337957607453,0.002306385838520164
tuned_pair,tuned_lightgbm,tuned_xgboost,0.9,0.09999999999999998,0.963450202251529,0.2213256746903267,0.002124279610069779
tuned_pair,tuned_lightgbm,tuned_xgboost,1.0,0.0,0.9632233232633375,0.22198428581857899,0.0018974006218782646
tuned_lgb_e4_xgb,tuned_lightgbm,e4_xgboost,0.0,1.0,0.9609049414923645,0.23003988273893708,-0.0004209811490947235
tuned_lgb_e4_xgb,tuned_lightgbm,e4_xgboost,0.1,0.9,0.9613864554034144,0.228671826124612,6.053276195516766e-05
tuned_lgb_e4_xgb,tuned_lightgbm,e4_xgboost,0.2,0.8,0.9618059876838234,0.22742724094933317,0.0004800650423641972
tuned_lgb_e4_xgb,tuned_lightgbm,e4_xgboost,0.30000000000000004,0.7,0.9621664428808108,0.2263018096668661,0.0008405202393515498
tuned_lgb_e4_xgb,tuned_lightgbm,e4_xgboost,0.4,0.6,0.9624707474224191,0.22529411150314985,0.0011448247809598966
tuned_lgb_e4_xgb,tuned_lightgbm,e4_xgboost,0.5,0.5,0.962721157235631,0.22440484669515232,0.0013952345941717903
tuned_lgb_e4_xgb,tuned_lightgbm,e4_xgboost,0.6000000000000001,0.3999999999999999,0.9629200437103769,0.223636733495516,0.0015941210689176533
tuned_lgb_e4_xgb,tuned_lightgbm,e4_xgboost,0.7000000000000001,0.29999999999999993,0.9630690133922419,0.22299479517777782,0.0017430907507827165
tuned_lgb_e4_xgb,tuned_lightgbm,e4_xgboost,0.8,0.19999999999999996,0.9631699059144017,0.22248717353153225,0.00184398327294244
tuned_lgb_e4_xgb,tuned_lightgbm,e4_xgboost,0.9,0.09999999999999998,0.963222480628407,0.22212735545032977,0.0018965579869477667
tuned_lgb_e4_xgb,tuned_lightgbm,e4_xgboost,1.0,0.0,0.9632233232633375,0.22198428581857899,0.0018974006218782646
e4_lgb_tuned_xgb,e4_lightgbm,tuned_xgboost,0.0,1.0,0.9637048560968331,0.22050111655302146,0.0023789334553738772
e4_lgb_tuned_xgb,e4_lightgbm,tuned_xgboost,0.1,0.9,0.9636963758421537,0.22068577248779753,0.002370453200694511
e4_lgb_tuned_xgb,e4_lightgbm,tuned_xgboost,0.2,0.8,0.963629245357691,0.2210626560919641,0.0023033227162317926
e4_lgb_tuned_xgb,e4_lightgbm,tuned_xgboost,0.30000000000000004,0.7,0.9635049988737246,0.2216028801198165,0.002179076232265431
e4_lgb_tuned_xgb,e4_lightgbm,tuned_xgboost,0.4,0.6,0.963322728305685,0.22229383393190505,0.001996805664225776
e4_lgb_tuned_xgb,e4_lightgbm,tuned_xgboost,0.5,0.5,0.9630807666312612,0.22312934871534676,0.0017548439898019685
e4_lgb_tuned_xgb,e4_lightgbm,tuned_xgboost,0.6000000000000001,0.3999999999999999,0.9627769568134201,0.22410806779260942,0.0014510341719609077
e4_lgb_tuned_xgb,e4_lightgbm,tuned_xgboost,0.7000000000000001,0.29999999999999993,0.9624072569385836,0.225233913430509,0.0010813342971244255
e4_lgb_tuned_xgb,e4_lightgbm,tuned_xgboost,0.8,0.19999999999999996,0.9619673887072213,0.22651971735292065,0.0006414660657620974
e4_lgb_tuned_xgb,e4_lightgbm,tuned_xgboost,0.9,0.09999999999999998,0.9614471716912736,0.22800474200856674,0.0001212490498143648
e4_lgb_tuned_xgb,e4_lightgbm,tuned_xgboost,1.0,0.0,0.9607973491608738,0.2337278412203376,-0.000528573480585437
four_model_equal,all_four,all_four,0.5,0.5,0.9630395360072264,0.22345703555272262,0.0017136133657671415
